trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
209,False,"{'a': 0.9, 'e': 0.12239274379499834}",20,4,23.067297774477282,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.9, 'e': 0.12116881635704835}",20,14,-0.7195453442219599,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.9, 'e': 0.11995712819347787}",25,10,-18.42725168666582,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
212,False,"{'a': 0.9, 'e': 0.11875755691154309}",20,14,10.053160166036854,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.9, 'e': 0.11756998134242766}",20,0,15.081931687378054,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
214,False,"{'a': 0.9, 'e': 0.11639428152900338}",25,11,-23.44494573943385,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
215,False,"{'a': 0.9, 'e': 0.11523033871371334}",30,0,19.978784421032056,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
216,False,"{'a': 0.9, 'e': 0.1140780353265762}",20,9,14.928204456188617,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.9, 'e': 0.11293725497331045}",20,0,29.22569470134469,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
218,False,"{'a': 0.9, 'e': 0.11180788242357734}",35,0,41.35691810550335,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.9, 'e': 0.11068980359934157}",20,10,16.479590156102947,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.9, 'e': 0.10958290556334815}",20,8,19.474409989713525,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.9, 'e': 0.10848707650771466}",20,12,14.911945734064401,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.9, 'e': 0.10740220574263752}",30,23,13.327619252889,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.9, 'e': 0.10632818368521114}",25,9,16.267486069408978,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.9, 'e': 0.10526490184835903}",25,1,26.71277886771948,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.9, 'e': 0.10421225282987544}",30,0,17.678063184671807,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
